City or municipality,Type,Province
Piddig,Mun,Ilocos Norte
Pidigan,Mun,Abra
Pigcawayan,Mun,Cotabato
Pikit,Mun,Cotabato
Pila,Mun,Laguna
Pilar,Mun,Abra
Pilar,Mun,Bataan
Pilar,Mun,Bohol
Pilar,Mun,Capiz
Pilar,Mun,Cebu
Pilar,Mun,Sorsogon
Pilar,Mun,Surigao del Norte
Pili,Mun,Camarines Sur
Pililla,Mun,Rizal
Pinabacdao,Mun,Samar
Pinamalayan,Mun,Oriental Mindoro
Pinamungajan,Mun,Cebu
Piñan,Mun,Zamboanga del Norte
Pinili,Mun,Ilocos Norte
Pintuyan,Mun,Southern Leyte
Pinukpuk,Mun,Kalinga
Pio Duran,Mun,Albay
Pio V. Corpus,Mun,Masbate
Pitogo,Mun,Quezon
Pitogo,Mun,Zamboanga del Sur
Placer,Mun,Masbate
Placer,Mun,Surigao del Norte
Plaridel,Mun,Bulacan
Plaridel,Mun,Misamis Occidental
Plaridel,Mun,Quezon
Pola,Mun,Oriental Mindoro
Polanco,Mun,Zamboanga del Norte
Polangui,Mun,Albay
Polillo,Mun,Quezon
Polomolok,Mun,South Cotabato
Pontevedra,Mun,Capiz
Pontevedra,Mun,Negros Occidental
Poona Bayabao,Mun,Lanao del Sur
Poona Piagapo,Mun,Lanao del Norte
Porac,Mun,Pampanga
Poro,Mun,Cebu
Pototan,Mun,Iloilo
Pozorrubio,Mun,Pangasinan
Presentacion,Mun,Camarines Sur
President Carlos P. Garcia,Mun,Bohol
President Quirino,Mun,Sultan Kudarat
President Roxas,Mun,Capiz
President Roxas,Mun,Cotabato
Prieto Diaz,Mun,Sorsogon
Prosperidad,Mun,Agusan del Sur
Pualas,Mun,Lanao del Sur
Pudtol,Mun,Apayao
Puerto Galera,Mun,Oriental Mindoro
Puerto Princesa*,HUC,Palawan
Pugo,Mun,La Union
Pulilan,Mun,Bulacan
Pulupandan,Mun,Negros Occidental
Pura,Mun,Tarlac
Quezon,Mun,Bukidnon
Quezon,Mun,Isabela
Quezon,Mun,Nueva Ecija
Quezon,Mun,Nueva Vizcaya
Quezon,Mun,Palawan
Quezon,Mun,Quezon
Quezon City**,HUC,Metro Manila
Quinapondan,Mun,Eastern Samar
Quirino,Mun,Ilocos Sur
Quirino,Mun,Isabela
Ragay,Mun,Camarines Sur
Rajah Buayan,Mun,Maguindanao del Sur
Ramon,Mun,Isabela
Ramon Magsaysay,Mun,Zamboanga del Sur
Ramos,Mun,Tarlac
Rapu-Rapu,Mun,Albay
Real,Mun,Quezon
Reina Mercedes,Mun,Isabela
Remedios T. Romualdez,Mun,Agusan del Norte
Rizal,Mun,Cagayan
Rizal,Mun,Kalinga
Rizal,Mun,Laguna
Rizal,Mun,Nueva Ecija
Rizal,Mun,Occidental Mindoro
Rizal,Mun,Palawan
Rizal,Mun,Zamboanga del Norte
Rodriguez,Mun,Rizal
Romblon,Mun,Romblon
Ronda,Mun,Cebu
Rosales,Mun,Pangasinan
Rosario,Mun,Agusan del Sur
Rosario,Mun,Batangas
Rosario,Mun,Cavite
Rosario,Mun,La Union
Rosario,Mun,Northern Samar
Roseller Lim,Mun,Zamboanga Sibugay
Roxas,Mun,Isabela
Roxas,Mun,Oriental Mindoro
Roxas,Mun,Palawan
Roxas,Mun,Zamboanga del Norte
Roxas*,CC,Capiz
Sabangan,Mun,Mountain Province
Sablan,Mun,Benguet
Sablayan,Mun,Occidental Mindoro
Sabtang,Mun,Batanes
Sadanga,Mun,Mountain Province
Sagada,Mun,Mountain Province
Sagay,Mun,Camiguin
Sagay,CC,Negros Occidental
Sagbayan,Mun,Bohol
Sagñay,Mun,Camarines Sur
Saguday,Mun,Quirino
Saguiaran,Mun,Lanao del Sur
Saint Bernard,Mun,Southern Leyte
Salay,Mun,Misamis Oriental
Salcedo,Mun,Eastern Samar
Salcedo,Mun,Ilocos Sur
Sallapadan,Mun,Abra
Salug,Mun,Zamboanga del Norte
Salvador,Mun,Lanao del Norte
Samal,Mun,Bataan
Samal,CC,Davao del Norte
Samboan,Mun,Cebu
Sampaloc,Mun,Quezon
San Agustin,Mun,Isabela
San Agustin,Mun,Romblon
San Agustin,Mun,Surigao del Sur
San Andres,Mun,Catanduanes
San Andres,Mun,Quezon
San Andres,Mun,Romblon
San Antonio,Mun,Northern Samar
San Antonio,Mun,Nueva Ecija
San Antonio,Mun,Quezon
San Antonio,Mun,Zambales
San Benito,Mun,Surigao del Norte
San Carlos,CC,Negros Occidental
San Carlos*,CC,Pangasinan
San Clemente,Mun,Tarlac
San Dionisio,Mun,Iloilo
San Emilio,Mun,Ilocos Sur
San Enrique,Mun,Iloilo
San Enrique,Mun,Negros Occidental
San Esteban,Mun,Ilocos Sur
San Fabian,Mun,Pangasinan
San Felipe,Mun,Zambales
San Fernando,Mun,Bukidnon
San Fernando,Mun,Camarines Sur
San Fernando,Mun,Cebu
San Fernando,Mun,Masbate
San Fernando,CC,Pampanga
San Fernando,Mun,Romblon
San Fernando*,CC,La Union
San Francisco,Mun,Agusan del Sur
San Francisco,Mun,Cebu
San Francisco,Mun,Quezon
San Francisco,Mun,Southern Leyte
San Francisco,Mun,Surigao del Norte
San Gabriel,Mun,La Union
San Guillermo,Mun,Isabela
San Ildefonso,Mun,Bulacan
San Ildefonso,Mun,Ilocos Sur
San Isidro,Mun,Abra
San Isidro,Mun,Bohol
San Isidro,Mun,Davao del Norte
San Isidro,Mun,Davao Oriental
San Isidro,Mun,Isabela
San Isidro,Mun,Leyte
San Isidro,Mun,Northern Samar
San Isidro,Mun,Nueva Ecija
San Isidro,Mun,Surigao del Norte
San Jacinto,Mun,Masbate
San Jacinto,Mun,Pangasinan
San Joaquin,Mun,Iloilo
San Jorge,Mun,Samar
San Jose,Mun,Batangas
San Jose,Mun,Camarines Sur
San Jose,Mun,Dinagat Islands
San Jose,Mun,Negros Oriental
San Jose,Mun,Northern Samar
San Jose,CC,Nueva Ecija
San Jose,Mun,Romblon
San Jose,Mun,Tarlac
San Jose de Buan,Mun,Samar
San Jose de Buenavista*,Mun,Antique
San Jose del Monte*,CC,Bulacan
San Jose*,Mun,Occidental Mindoro
San Juan,Mun,Abra
San Juan,Mun,Batangas
San Juan,Mun,Ilocos Sur
San Juan,Mun,La Union
San Juan,HUC,Metro Manila
San Juan,Mun,Siquijor
San Juan,Mun,Southern Leyte
San Julian,Mun,Eastern Samar
San Leonardo,Mun,Nueva Ecija
San Lorenzo,Mun,Guimaras
San Lorenzo Ruiz,Mun,Camarines Norte
San Luis,Mun,Agusan del Sur
San Luis,Mun,Aurora
San Luis,Mun,Batangas
San Luis,Mun,Pampanga
San Manuel,Mun,Isabela
San Manuel,Mun,Pangasinan
San Manuel,Mun,Tarlac
San Marcelino,Mun,Zambales
San Mariano,Mun,Isabela
San Mateo,Mun,Isabela
San Mateo,Mun,Rizal
San Miguel,Mun,Bohol
San Miguel,Mun,Bulacan
San Miguel,Mun,Catanduanes
San Miguel,Mun,Iloilo
San Miguel,Mun,Leyte
San Miguel,Mun,Surigao del Sur
San Miguel,Mun,Zamboanga del Sur
San Narciso,Mun,Quezon
San Narciso,Mun,Zambales
San Nicolas,Mun,Batangas
San Nicolas,Mun,Ilocos Norte
San Nicolas,Mun,Pangasinan
San Pablo,Mun,Isabela
San Pablo,CC,Laguna
San Pablo,Mun,Zamboanga del Sur
San Pascual,Mun,Batangas
San Pascual,Mun,Masbate
San Pedro,CC,Laguna
San Policarpo,Mun,Eastern Samar
San Quintin,Mun,Abra
San Quintin,Mun,Pangasinan
San Rafael,Mun,Bulacan
San Rafael,Mun,Iloilo
San Remigio,Mun,Antique
San Remigio,Mun,Cebu
San Ricardo,Mun,Southern Leyte
San Roque,Mun,Northern Samar
San Sebastian,Mun,Samar
San Simon,Mun,Pampanga
San Teodoro,Mun,Oriental Mindoro
San Vicente,Mun,Camarines Norte
San Vicente,Mun,Ilocos Sur
San Vicente,Mun,Northern Samar
San Vicente,Mun,Palawan
Sanchez-Mira,Mun,Cagayan
Santa,Mun,Ilocos Sur
Santa Ana,Mun,Cagayan
Santa Ana,Mun,Pampanga
Santa Barbara,Mun,Iloilo
Santa Barbara,Mun,Pangasinan
Santa Catalina,Mun,Ilocos Sur
Santa Catalina,Mun,Negros Oriental
Santa Cruz,Mun,Davao del Sur
Santa Cruz,Mun,Ilocos Sur
Santa Cruz,Mun,Laguna
Santa Cruz,Mun,Marinduque
Santa Cruz,Mun,Occidental Mindoro
Santa Cruz,Mun,Zambales
Santa Elena,Mun,Camarines Norte
Santa Fe,Mun,Cebu
Santa Fe,Mun,Leyte
Santa Fe,Mun,Nueva Vizcaya
Santa Fe,Mun,Romblon
Santa Ignacia,Mun,Tarlac
Santa Josefa,Mun,Agusan del Sur
Santa Lucia,Mun,Ilocos Sur
Santa Magdalena,Mun,Sorsogon
Santa Marcela,Mun,Apayao
Santa Margarita,Mun,Samar
Santa Maria,Mun,Bulacan
Santa Maria,Mun,Davao Occidental
Santa Maria,Mun,Ilocos Sur
Santa Maria,Mun,Isabela
Santa Maria,Mun,Laguna
Santa Maria,Mun,Pangasinan
Santa Maria,Mun,Romblon
Santa Monica,Mun,Surigao del Norte
Santa Praxedes,Mun,Cagayan
Santa Rita,Mun,Pampanga
Santa Rita,Mun,Samar
Santa Rosa,CC,Laguna
Santa Rosa,Mun,Nueva Ecija
Santa Teresita,Mun,Batangas
Santa Teresita,Mun,Cagayan
Santander,Mun,Cebu
Santiago,Mun,Agusan del Norte
Santiago,Mun,Ilocos Sur
Santiago,ICC,Isabela
Santo Domingo,Mun,Albay
Santo Domingo,Mun,Ilocos Sur
Santo Domingo,Mun,Nueva Ecija
Santo Niño,Mun,Cagayan
Santo Niño,Mun,Samar
Santo Niño,Mun,South Cotabato
Santo Tomas,CC,Batangas
Santo Tomas,Mun,Davao del Norte
Santo Tomas,Mun,Isabela
Santo Tomas,Mun,La Union
Santo Tomas,Mun,Pampanga
Santo Tomas,Mun,Pangasinan
Santol,Mun,La Union
Sapa-Sapa,Mun,Tawi-Tawi
Sapad,Mun,Lanao del Norte
Sapang Dalaga,Mun,Misamis Occidental
Sapian,Mun,Capiz
Sara,Mun,Iloilo
Sarangani,Mun,Davao Occidental
Sariaya,Mun,Quezon
Sarrat,Mun,Ilocos Norte
Sasmuan,Mun,Pampanga
Sebaste,Mun,Antique
Senator Ninoy Aquino,Mun,Sultan Kudarat
Sergio Osmeña,Mun,Zamboanga del Norte
Sevilla,Mun,Bohol
Shariff Aguak,Mun,Maguindanao del Sur
Shariff Saydona Mustapha,Mun,Maguindanao del Sur
Siasi,Mun,Sulu
Siaton,Mun,Negros Oriental
Siay,Mun,Zamboanga Sibugay
Siayan,Mun,Zamboanga del Norte
Sibagat,Mun,Agusan del Sur
Sibalom,Mun,Antique
Sibonga,Mun,Cebu
Sibuco,Mun,Zamboanga del Norte
Sibulan,Mun,Negros Oriental
Sibunag,Mun,Guimaras
Sibutad,Mun,Zamboanga del Norte
Sibutu,Mun,Tawi-Tawi
Sierra Bullones,Mun,Bohol
Sigay,Mun,Ilocos Sur
Sigma,Mun,Capiz
Sikatuna,Mun,Bohol
Silago,Mun,Southern Leyte
Silang,Mun,Cavite
Silay,CC,Negros Occidental
Silvino Lobos,Mun,Northern Samar
Simunul,Mun,Tawi-Tawi
Sinacaban,Mun,Misamis Occidental
Sinait,Mun,Ilocos Sur
Sindangan,Mun,Zamboanga del Norte
Siniloan,Mun,Laguna
Siocon,Mun,Zamboanga del Norte
Sipalay,CC,Negros Occidental
Sipocot,Mun,Camarines Sur
Siquijor*,Mun,Siquijor
Sirawai,Mun,Zamboanga del Norte
Siruma,Mun,Camarines Sur
Sison,Mun,Pangasinan
Sison,Mun,Surigao del Norte
Sitangkai,Mun,Tawi-Tawi
Socorro,Mun,Oriental Mindoro
Socorro,Mun,Surigao del Norte
Sofronio Española,Mun,Palawan
Sogod,Mun,Cebu
Sogod,Mun,Southern Leyte
Solana,Mun,Cagayan
Solano,Mun,Nueva Vizcaya
Solsona,Mun,Ilocos Norte
Sominot,Mun,Zamboanga del Sur
Sorsogon City*,CC,Sorsogon
South Ubian,Mun,Tawi-Tawi
South Upi,Mun,Maguindanao del Sur
Sual,Mun,Pangasinan
Subic,Mun,Zambales
Sudipen,Mun,La Union
Sugbongcogon,Mun,Misamis Oriental
Sugpon,Mun,Ilocos Sur
Sulat,Mun,Eastern Samar
Sulop,Mun,Davao del Sur
Sultan Dumalondong,Mun,Lanao del Sur
Sultan Kudarat,Mun,Maguindanao del Norte
Sultan Mastura,Mun,Maguindanao del Norte
Sultan Naga Dimaporo,Mun,Lanao del Norte
Sultan sa Barongis,Mun,Maguindanao del Sur
Sumilao,Mun,Bukidnon
Sumisip,Mun,Basilan
Surallah,Mun,South Cotabato
Surigao City*,CC,Surigao del Norte
Suyo,Mun,Ilocos Sur
T'Boli,Mun,South Cotabato
Taal,Mun,Batangas
Tabaco,CC,Albay
Tabango,Mun,Leyte
Tabina,Mun,Zamboanga del Sur
Tabogon,Mun,Cebu
Tabontabon,Mun,Leyte
Tabuan-Lasa,Mun,Basilan
Tabuelan,Mun,Cebu
Tabuk*,CC,Kalinga
Tacloban*,HUC,Leyte
Tacurong*,CC,Sultan Kudarat
Tadian,Mun,Mountain Province
Taft,Mun,Eastern Samar
Tagana-an,Mun,Surigao del Norte
Tagapul-an,Mun,Samar
Tagaytay,CC,Cavite
Tagbilaran*,CC,Bohol
Tagbina,Mun,Surigao del Sur
Tagkawayan,Mun,Quezon
Tago,Mun,Surigao del Sur
Tagoloan,Mun,Lanao del Norte
Tagoloan,Mun,Misamis Oriental
Tagoloan II,Mun,Lanao del Sur
Tagudin,Mun,Ilocos Sur
Taguig,HUC,Metro Manila
Tagum*,CC,Davao del Norte
Talacogon,Mun,Agusan del Sur
Talaingod,Mun,Davao del Norte
Talakag,Mun,Bukidnon
Talalora,Mun,Samar
Talavera,Mun,Nueva Ecija
Talayan,Mun,Maguindanao del Sur
Talibon,Mun,Bohol
Talipao,Mun,Sulu
Talisay,Mun,Batangas
Talisay,Mun,Camarines Norte
Talisay,CC,Cebu
Talisay,CC,Negros Occidental
Talisayan,Mun,Misamis Oriental
Talitay,Mun,Maguindanao del Norte
Talugtug,Mun,Nueva Ecija
Talusan,Mun,Zamboanga Sibugay
Tambulig,Mun,Zamboanga del Sur
Tampakan,Mun,South Cotabato
Tamparan,Mun,Lanao del Sur
Tampilisan,Mun,Zamboanga del Norte
Tanauan,CC,Batangas
Tanauan,Mun,Leyte
Tanay,Mun,Rizal
Tandag,CC,Surigao del Sur
Tandubas,Mun,Tawi-Tawi
Tangalan,Mun,Aklan
Tangcal,Mun,Lanao del Norte
Tangub,CC,Misamis Occidental
Tanjay,CC,Negros Oriental
Tantangan,Mun,South Cotabato
Tanudan,Mun,Kalinga
Tanza,Mun,Cavite
Tapaz,Mun,Capiz
Tapul,Mun,Sulu
Taraka,Mun,Lanao del Sur
Tarangnan,Mun,Samar
Tarlac City*,CC,Tarlac
Tarragona,Mun,Davao Oriental
Tayabas,CC,Quezon
Tayasan,Mun,Negros Oriental
Taysan,Mun,Batangas
Taytay,Mun,Palawan
Taytay,Mun,Rizal
Tayug,Mun,Pangasinan
Tayum,Mun,Abra
Teresa,Mun,Rizal
Ternate,Mun,Cavite
Tiaong,Mun,Quezon
Tibiao,Mun,Antique
Tigaon,Mun,Camarines Sur
Tigbao,Mun,Zamboanga del Sur
Tigbauan,Mun,Iloilo
Tinambac,Mun,Camarines Sur
Tineg,Mun,Abra
Tinglayan,Mun,Kalinga
Tingloy,Mun,Batangas
Tinoc,Mun,Ifugao
Tipo-Tipo,Mun,Basilan
Titay,Mun,Zamboanga Sibugay
Tiwi,Mun,Albay
Tobias Fornier,Mun,Antique
Toboso,Mun,Negros Occidental
Toledo,CC,Cebu
Tolosa,Mun,Leyte
Tomas Oppus,Mun,Southern Leyte
Torrijos,Mun,Marinduque
Trece Martires,CC,Cavite
Trento,Mun,Agusan del Sur
Trinidad,Mun,Bohol
Tuao,Mun,Cagayan
Tuba,Mun,Benguet
Tubajon,Mun,Dinagat Islands
Tubao,Mun,La Union
Tubaran,Mun,Lanao del Sur
Tubay,Mun,Agusan del Norte
Tubigon,Mun,Bohol
Tublay,Mun,Benguet
Tubo,Mun,Abra
Tubod,Mun,Lanao del Norte
Tubod,Mun,Surigao del Norte
Tubungan,Mun,Iloilo
Tuburan,Mun,Basilan
Tuburan,Mun,Cebu
Tudela,Mun,Cebu
Tudela,Mun,Misamis Occidental
Tugaya,Mun,Lanao del Sur
Tuguegarao*,CC,Cagayan
Tugunan,Mun,Cotabato
Tukuran,Mun,Zamboanga del Sur
Tulunan,Mun,Cotabato
Tumauini,Mun,Isabela
Tunga,Mun,Leyte
Tungawan,Mun,Zamboanga Sibugay
Tupi,Mun,South Cotabato
Turtle Islands,Mun,Tawi-Tawi
Tuy,Mun,Batangas
Ubay,Mun,Bohol
Umingan,Mun,Pangasinan
Ungkaya Pukan,Mun,Basilan
Unisan,Mun,Quezon
Upi,Mun,Maguindanao del Norte
Urbiztondo,Mun,Pangasinan
Urdaneta,CC,Pangasinan
Uson,Mun,Masbate
Uyugan,Mun,Batanes
Valderrama,Mun,Antique
Valencia,Mun,Bohol
Valencia,Mun,Negros Oriental
Valencia*,CC,Bukidnon
Valenzuela,HUC,Metro Manila
Valladolid,Mun,Negros Occidental
Vallehermoso,Mun,Negros Oriental
Veruela,Mun,Agusan del Sur
Victoria,Mun,Laguna
Victoria,Mun,Northern Samar
Victoria,Mun,Oriental Mindoro
Victoria,Mun,Tarlac
Victorias,CC,Negros Occidental
Viga,Mun,Catanduanes
Vigan,CC,Ilocos Sur
Villaba,Mun,Leyte
Villanueva,Mun,Misamis Oriental
Villareal,Mun,Samar
Villasis,Mun,Pangasinan
Villaverde,Mun,Nueva Vizcaya
Villaviciosa,Mun,Abra
Vincenzo A. Sagun,Mun,Zamboanga del Sur
Vintar,Mun,Ilocos Norte
Vinzons,Mun,Camarines Norte
Virac*,Mun,Catanduanes
Wao,Mun,Lanao del Sur
Zamboanga City*,HUC,Zamboanga del Sur
Zamboanguita,Mun,Negros Oriental
Zaragoza,Mun,Nueva Ecija
Zarraga,Mun,Iloilo
Zumarraga,Mun,Samar
